num_workers,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
1,16,0.2853943287626903,0.00799255774160777,1.169075567817688,0.08595577797938493,0.7214,0.01048427393766491,0.2786,0.01048427393766491,41.91863123575846,0.28968219812163826
1,17,0.2581715367031097,0.003487631490066234,1.2573104072093964,0.1128221784258984,0.7083666666666666,0.017034474847594624,0.29163333333333336,0.017034474847594624,42.36708450317383,0.3121989645175339
1,18,0.23741313673178355,0.00468965126573032,1.2257946918646496,0.06498261304781225,0.7197666666666667,0.011698005528009172,0.28023333333333333,0.011698005528009172,42.79870478312174,0.3239342899908973
1,19,0.2171332295012474,0.0035054482487652154,1.2713980649232866,0.08816122209720663,0.7186,0.010226925246622297,0.2814,0.010226925246622297,43.21111551920573,0.3308625967115389
1,20,0.1974322587768237,0.0013818964974152271,1.2586429809888204,0.1014748369030644,0.7257333333333333,0.013148890954500038,0.2742666666666667,0.013148890954500038,43.5981559753418,0.34215837071616734
1,21,0.17760508243242898,0.004328877559890763,1.3037302068312964,0.047756854905240245,0.7254666666666667,0.005589573627150242,0.27453333333333335,0.005589573627150242,43.95718256632487,0.3404447396220925
1,22,0.15885559792757034,0.0012004898918901627,1.329689891688029,0.09422057862919575,0.7232666666666666,0.011996805130255864,0.27673333333333333,0.011996805130255864,44.28886922200521,0.34855074611855386
1,23,0.15100357185204824,0.000444405101459417,1.3388595358689628,0.07635859771866503,0.7242000000000001,0.006781592733274381,0.2758,0.006781592733274382,44.61032740275065,0.3521115264176693
1,24,0.1315303138323625,0.004085449360320798,1.3913533800443014,0.09540204385404982,0.7257666666666668,0.013102035465275386,0.27423333333333333,0.013102035465275386,44.88302739461263,0.33951482136734146
1,25,0.12401025669813155,0.006495141876413188,1.431341017738978,0.07765033656368153,0.7229333333333333,0.005021288015373479,0.2770666666666667,0.005021288015373479,45.149060567220054,0.32122272187121476
1,26,0.11330539961695672,0.009530748017581553,1.4541007761319478,0.08687074710570632,0.7235666666666667,0.008360821331264832,0.27643333333333336,0.008360821331264832,45.3889414469401,0.296617880641622
1,27,0.10465882031679152,0.006363738869477839,1.416430697965622,0.06514079275911157,0.7336333333333332,0.009451631252505225,0.2663666666666667,0.009451631252505225,45.609362284342446,0.2965277763578804
1,28,0.0902675312525034,0.005948639870118948,1.465742319615682,0.08712255226395677,0.7281,0.005291502622129186,0.27190000000000003,0.005291502622129186,45.786146799723305,0.29986584320812626
1,29,0.08521133287608623,0.003969555022431057,1.4601731863021852,0.043850498983886724,0.7320000000000001,0.008598255637046373,0.26799999999999996,0.008598255637046373,45.95718765258789,0.29806823424753204
1,30,0.08294761611590784,0.007740350496591246,1.5105680462201434,0.06848876855262559,0.7309,0.012489995996796807,0.2691,0.012489995996796807,46.12018585205078,0.28713916797122835
1,31,0.06968434201379617,0.005202855412745333,1.5422144839286804,0.0341911748215401,0.73,0.0021794494717703263,0.26999999999999996,0.002179449471770326,46.23656972249349,0.26704341015630323
1,32,0.06878795496503512,0.012992633964179804,1.520853310139974,0.07901006921200701,0.7331666666666666,0.013748575683805692,0.2668333333333333,0.013748575683805692,46.35684585571289,0.2407188898840365
1,33,0.06616619155963262,0.010612296005100998,1.5391584886868792,0.03140709576107809,0.7324333333333334,0.004992327446525671,0.2675666666666667,0.004992327446525672,46.467559814453125,0.24108182350564877
1,34,0.06039167338132858,0.0027662970731199914,1.5474982847213745,0.06812402575924056,0.7361000000000001,0.004194043395102141,0.26389999999999997,0.00419404339510214,46.56084442138672,0.24778245525229767
