tau,epoch,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_test_acc,std_test_acc,mean_test_error,std_test_error,mean_weight_norm,std_weight_norm
0,19,0.44341426095643416,0.012098448601304478,0.7214733268419901,0.05414111760608927,0.7703666666666668,0.017142150779098083,0.22963333333333333,0.017142150779098083,38.85994338989258,0.010497684389332384
0,20,0.4319111767454424,0.010621787017729605,0.6947850774129231,0.08237519236473231,0.7798999999999999,0.016731108749870657,0.2201,0.016731108749870657,38.91320546468099,0.014191693778624857
0,21,0.4193052947902314,0.010470527909210221,0.6669583156903585,0.12732357675469666,0.7954333333333334,0.030987793295640404,0.20456666666666667,0.030987793295640404,38.96629333496094,0.015572232032883422
0,22,0.4080910940558506,0.009005820444340389,0.649523428249359,0.11588782371834368,0.7934666666666667,0.026443398672132367,0.20653333333333335,0.026443398672132367,39.01825841267904,0.01675792702481603
0,23,0.39931330349032734,0.009477645507830791,0.6283430244922639,0.06182501472020795,0.7989333333333333,0.017755656375739365,0.2010666666666667,0.017755656375739365,39.06914138793945,0.015858247117428725
0,24,0.38873264639426375,0.009413263045312719,0.711967441701889,0.04322105357377754,0.7819333333333334,0.01045817064946509,0.21806666666666666,0.01045817064946509,39.11921056111654,0.015871219468279973
0,25,0.3799695405864553,0.00787946641235876,0.6545856450557709,0.06263020233019768,0.7952,0.012357588761566687,0.2048,0.012357588761566687,39.16662470499674,0.017410092070037714
0,26,0.3698087074338933,0.008450228861400528,0.666666368150711,0.05596266998766227,0.7895666666666666,0.014213491243650667,0.21043333333333333,0.014213491243650667,39.216312408447266,0.020298194490058995
0,27,0.363265712573197,0.007287924910050667,0.6941036620616913,0.08177057660542192,0.7843666666666668,0.020010580534640502,0.21563333333333332,0.020010580534640502,39.2661018371582,0.022010539101217565
0,28,0.35379329427937006,0.005495226034218444,0.643813799238205,0.06218872184706326,0.8006333333333333,0.01617693831765865,0.1993666666666667,0.01617693831765865,39.314727783203125,0.024375181530332274
0,29,0.346178209613961,0.005039450288600167,0.6765796784559885,0.17761672874856588,0.7952666666666667,0.035569837409430705,0.20473333333333332,0.035569837409430705,39.36217244466146,0.02800273369648755
0,30,0.3397601442975258,0.008063509683086256,0.6298383526166279,0.17900328517953268,0.8111,0.03930737844222126,0.18889999999999996,0.03930737844222126,39.41151428222656,0.03081588881116889
0,31,0.3331641046058796,0.009941004573375163,0.5857790435155232,0.04416530577124902,0.8212999999999999,0.006063002556489685,0.1787,0.006063002556489685,39.458526611328125,0.03087564241255514
0,32,0.32803850146510716,0.00692939976130636,0.5430085291067759,0.02285188324385088,0.8262333333333333,0.002730079363925748,0.17376666666666665,0.002730079363925748,39.50502014160156,0.030907090400188676
0,33,0.3213163245999701,0.007478364755647023,0.5982319456418356,0.04867585623830449,0.8152333333333334,0.011927419391189888,0.18476666666666666,0.011927419391189888,39.55283228556315,0.031140060102582107
0,34,0.31247953411258395,0.007900274317863885,0.6478537621498108,0.14301378410656082,0.8022333333333332,0.037344522132882293,0.19776666666666667,0.037344522132882293,39.60110855102539,0.03250267759827715
